RiskScore,TotalDebtToIncomeRatio,MonthlyIncome,AnnualIncome,InterestRate,LoanAmount,BaseInterestRate,NetWorth,LoanDuration,MonthlyLoanPayment,TotalAssets,DebtToIncomeRatio
49.0,0.1810771978253941,3329.0,39948,0.2275896303554705,13152,0.199652,126928,48,419.8059915607372,146111,0.3583355996981915
52.0,0.3898524480253535,3309.083333333333,39709,0.2010771214969362,26045,0.207045,43609,48,794.0542382198969,53204,0.330273669928854
52.0,0.4621569652325321,3393.6666666666665,40724,0.2125480098452577,17627,0.217627,5205,36,666.4066876774697,25176,0.2447291091328494
54.0,0.3130983116604649,5757.0,69084,0.3009108491496013,37898,0.300398,99452,96,1047.5069802292967,104822,0.4362442650682687
36.0,0.0702098474378087,8605.333333333334,103264,0.1759901787753283,9184,0.197184,227019,36,330.17914048482373,244305,0.0788842122687955
44.0,0.0752112887097658,14859.166666666666,178310,0.2176011551228336,15433,0.217433,27071,72,385.5770741531959,67914,0.2593664008403899
50.0,0.1705288628289459,4270.833333333333,51250,0.2052709678061031,12741,0.225741,21730,48,391.30035166528967,65624,0.1274727031804663
42.400000000000006,0.2607665587313296,8112.083333333333,97345,0.2091129420982145,19634,0.226634,38621,12,1827.3600549751063,50177,0.3955676351247315
61.0,0.2465092588411087,9736.75,116841,0.291539424809367,55353,0.258853,7711,60,1762.1990260211653,29632,0.3132332595016429
53.0,0.9033837027516506,3384.583333333333,40615,0.1972706023859007,25443,0.184443,116812,12,2353.577423938191,129664,0.5051480267602317
47.0,0.2886433733129584,6137.166666666667,73646,0.3335388817645363,48716,0.334716,128651,84,1504.4524892505112,148966,0.0814447301385817
56.0,1.440487622182721,1250.0,15000,0.1824011978415739,30088,0.209588,29709,24,1505.6095277284012,33062,0.3466856611903402
56.0,0.1188733655288216,6204.416666666667,74453,0.2556845305679195,16154,0.234654,5231,60,479.5398903097801,16204,0.3710335920591852
63.0,0.1004554701919019,8375.666666666666,100508,0.245374273754178,20439,0.235439,82783,60,594.3815331706401,181813,0.5813609803865023
58.0,0.3048452985451894,3968.6666666666665,47624,0.2022289217809192,27197,0.213697,35918,36,1013.8293748263418,45336,0.7515148192746655
